
822149ae-91f1-4861-8811-616707f7d30b,Кроссфит
cedac017-1785-4683-8bd9-17d5eb8166b7,Функциональный тренинг
aacc3fee-eff6-4ba9-8fe8-b0e92dc3d9a1,Силовой фитнес
844afa73-e112-4d7c-8b14-ada10a345448,Кардио-фитнес
f3382b9c-e589-4ba0-ae4d-b0c0731e8b2d,Стретчинг
9cb07ec3-a8f0-45c7-a6c4-26eb57ee3946,Пилатес
7f5a9ba9-5112-4068-a705-0bbd00670fbd,Аэробика
6bff21fb-bf9d-4eb6-bb9d-2e5690816bf6,"Танцевальный фитнес (Zumba, Latina, Hip-Hop Fitness)"
e65256da-c6f7-4f3b-af42-d19a2a976ed1,Аквафитнес
ff03e3a8-c707-4aa4-a596-a1b55748ba09,Барре-фитнес
9b30e2ad-54da-4849-8f17-b6fed6ebf53f,Хатха-йога
c55c3359-3472-4c99-94ec-dc1be39964a0,Аштанга-йога
25205e99-aed6-4f68-bbc6-213c4627da07,Виньяса-йога
054402fc-df50-4e2b-8744-3e6d5ced1d47,Айенгар-йога
a02ba66e-ac62-4926-b089-53c3f379dd41,Йога-нидра
090ec4a3-419c-4f60-a464-4900084bf0de,Кундалини-йога
b730ed64-9ccb-4a6a-9bb8-45960dee4c18,Бикрам-йога (горячая йога)
0464f06a-93ab-4457-865c-48a966b34023,Йога для беременных
6ec12bcd-e42c-4d99-8f59-4028420816ca,Йога-терапия
1f3016fb-2d8c-432d-af3d-1092077f7ec9,Йога-флоу
