
9a290b5d-c1b5-4177-b53e-3b45ddd62bff,Зал №1,5
54a38371-5677-4509-b54e-064bc56de60d,Зал №2,4
6d2cc6ee-7d9a-4387-a4f0-f36337dde778,Зал №3,4
a3f7a336-77ec-4570-b2be-656838ca85b1,Зал №4,7
d81fea06-17fb-4db4-b4f1-03367fe18a53,Зал №5,3
1ba3a280-1e80-4c88-bbbf-481a4ef07001,Зал №6,9
ec4f8bcd-017f-4d12-8e08-297521493ea0,Зал №7,3
40d50538-289b-4df5-bb37-9d52e7cc7608,Зал №8,7
00698af1-a74a-4e9b-86fc-d45598542d66,Зал №9,4
dafe40ef-6797-4656-9105-64b0d7392f39,Зал №10,4
7f59ed04-c8fa-44f2-9bb2-7a55180dd0ef,Зал №11,4
f95bbbcf-57b8-428f-83e5-4b9582c886a0,Зал №12,10
f081a3b6-58b9-4ed5-8a5a-4fb146bd7aad,Зал №13,5
c7575a26-7c64-4c2f-9a0b-17361c6e99d7,Зал №14,4
6c6bf3db-5fd0-4735-8500-41dc427adbad,Зал №15,5
61e9c0b1-9613-4512-8d14-6dbb81cbce98,Зал №16,9
e0f47fc3-84ba-4729-8ec0-93234972e4d6,Зал №17,7
5d863c5e-f1bd-4040-88d0-ef1461605047,Зал №18,5
22fbbcad-e450-411b-a6e8-f3d0082f4c28,Зал №19,5
a6c30642-0901-4224-a24f-e44d94f835b7,Зал №20,8
