
8b4de2d6-3d3e-422f-9ed6-e540d988cde7,a037d675-df82-4457-a2ec-5c6734b8e0af,3d745a83-8ae7-481d-9885-2bcf693fd309,48705a40-95e4-4245-9e69-b80292342b39,2024-09-01,2025-03-25,70
25979330-ca5a-4825-b0e4-72afdd9b63c2,d55d3386-078d-4751-aee3-b45bf13bdaa6,5d12ae1a-9929-4ac7-b6f1-c4d0e7f8608e,28ad7e04-cc6c-4803-82c7-11f34ace26e4,2024-11-12,2024-12-02,2
a3f84f6d-5911-4211-b570-f7f2721d1e63,4be62a7e-b067-4374-90c0-818b07314189,876bfbe9-0974-4563-839e-c3cf2e4da0f2,b058ae1b-d7d8-4e1c-94ab-967529e405f3,2024-11-05,2025-09-17,99
92bfffcd-66f5-4e13-9619-64fb11b86173,cd283c28-80e4-4c93-b5f4-3712efd701a0,fce44ab5-7ce7-4de7-b0f2-f26f19417736,2fb6f041-aeae-4db1-91fb-a85c402ce722,2024-08-31,2024-09-17,68
2bf4a00d-9e6c-4121-9406-1654d09cec11,88dc632e-bc5b-4da3-9bcc-e932aa46ba85,5d12ae1a-9929-4ac7-b6f1-c4d0e7f8608e,83092500-1bc5-4d38-8dfa-13e521396bc2,2025-04-05,2025-09-21,1
bae8af23-3d3b-432f-95e0-942a195aea06,c114e1df-2d11-4ea8-9af0-a35d1e863d4f,5832e9e8-302a-4d98-9fad-cb8ff0543115,2c4841fd-7bc3-4326-a816-f39823f93ce3,2024-09-04,2025-01-20,23
d24644ae-9006-4a86-a524-98d607365ef1,2359c81b-4bf8-4eec-9900-b5eb95ee2e27,038c3c72-bf06-4279-b780-82cdbca94e52,b3957b87-f0d0-4eaf-82bd-309a2656d7f7,2025-03-05,2025-08-12,25
2ae625a4-d4ca-4bac-9e35-612bf0150b1a,d8716f19-2542-4e43-91b1-090e667efb84,5e0f12f6-c53c-4663-a71a-83c6dda9b2ac,6c865862-9e0c-44d1-8f94-a6c8fbd6b4f5,2024-07-23,2025-01-11,46
9513ccf1-9dc3-401e-8a39-601e2900a5e5,909f515d-ecaf-4166-952d-4776b6ff0753,756109cd-fedf-46d9-a02c-df7a22d9d75c,ffeb5129-164b-4886-b1bb-6ed784e95db2,2025-01-15,2025-02-26,11
56079133-e5ff-4d60-90d9-9e80a0c57047,e4bd6f39-6073-4d37-ba41-db9b97762736,756109cd-fedf-46d9-a02c-df7a22d9d75c,7864048e-b31b-4ddd-9a92-c876f57be048,2025-03-03,2025-03-12,44
