
851b7f1e-a77f-42fe-9a6a-d6c4f1c85f13,Базовый,11156.875298026724,10,30
05a9d836-a8ef-4f79-96f1-e25365ad7020,Продвинутый,18212.99421679569,20,60
6e6ed207-269b-4914-b76c-c4938e662829,Премиум,27153.243573332773,30,90
3d745a83-8ae7-481d-9885-2bcf693fd309,VIP,47869.817762773244,60,180
9a07278f-97e5-441c-a651-778ccd011d69,Элитный,67166.06506712572,120,365
f1ba9052-e6b3-4f4d-aced-673dfeb9ebc8,Разовый,532.2219053481047,1,7
5d12ae1a-9929-4ac7-b6f1-c4d0e7f8608e,Пробный,1782.8784859285247,2,14
e3b4af42-dae2-4cbb-aec6-68931f00b275,Гибкий,42110.28212486406,12,45
da10c836-895d-4be5-a960-650969616466,Корпоративный,56640.910806692045,45,90
fce44ab5-7ce7-4de7-b0f2-f26f19417736,Семейный,41357.49778585021,30,90
5832e9e8-302a-4d98-9fad-cb8ff0543115,Безлимитный,59369.21419763733,365,365
8f35f831-9903-47a0-9e36-0f7f6730ef59,Полугодовой,73578.16863584565,100,180
038c3c72-bf06-4279-b780-82cdbca94e52,Годовой,125363.56519298932,200,365
e2134be6-4c48-4792-803d-3fa9ecd71a94,Клубная карта,190600.78942968958,730,730
5e0f12f6-c53c-4663-a71a-83c6dda9b2ac,Персональный,76036.8077732452,20,60
756109cd-fedf-46d9-a02c-df7a22d9d75c,Индивидуальный,62240.65376116091,25,90
404751fc-0e4f-4ae2-9658-c1d8b546d84d,Экспресс,20492.734638193862,12,30
f1871f17-5a0e-4858-aa1e-9aa6d1a8c095,Специальный,46628.88838751422,18,60
876bfbe9-0974-4563-839e-c3cf2e4da0f2,Флекс,36246.56217038802,15,45
63e94e1a-1f7b-4f32-9bb2-5c81c07c0e6b,VIP Премиум,87504.9440136547,50,365
