
caf2e07e-e487-4f75-b88c-0bfc44b75122,12b5afbf-b4f2-48a3-ac7c-caf101924af2,60dd81b2-5e45-46ef-ab00-3706ecd4ab99,2024-09-22,кредитная карта,soldier,ожидает
b1f602cc-4036-4912-9325-a087381ca864,48705a40-95e4-4245-9e69-b80292342b39,63cc08a3-aa56-4936-9a35-5c6ac2ef81dd,2024-09-01,кредитная карта,land,оплачен
14cba682-24f4-41f3-becb-25b03e52d6cf,28ad7e04-cc6c-4803-82c7-11f34ace26e4,4a8c19c7-da58-49fc-a897-2f2798e687fc,2024-11-12,кредитная карта,news,оплачен
ddd3386b-89c7-49ca-be2e-47d890df4336,7b93dec5-2eee-48b9-9036-2965c119bb10,12261452-93f8-4b5a-887d-d540f9298f7a,2024-10-16,кредитная карта,another,ожидает
143a76aa-5380-44ed-bd9f-4f950647d3db,f8c1531d-c099-4740-adb2-3b130b689a66,92080702-4553-4d4c-80cd-9becd1469396,2025-01-04,кредитная карта,bring,ожидает
2af5395b-dae5-4038-b6d8-801be0e323f9,956e48c0-61c6-465a-8d53-2150b0f784ac,33f1e981-7bfa-49cc-be38-76f048d7197f,2025-02-02,банковский перевод,,отменен
d0fe76c3-24d4-4be5-9f73-e303f19eefc6,221babd2-0f7b-425e-bc68-fe5bf6cb8262,393b2479-6a24-414b-8e93-1d89e413e6ad,2024-05-15,кредитная карта,good,отменен
241e1422-fb26-4179-8a85-2ff97c1337f1,88097534-a788-48b4-873f-b2bb1ee30950,c5c3f7b4-4511-4295-9f3d-b55d7cef2436,2025-04-05,наличные,,отменен
860af7da-8e7b-4071-a0fe-8e198e23515c,e4caad3f-495b-4b30-977e-5033c3fd7594,4fb94b60-d119-4625-aa49-b93350c319f2,2024-09-14,наличные,,отменен
31731224-2624-42f8-a202-c73154c2623c,cd1fca42-9581-41fc-a66f-ba4d801dd5a3,3a561099-f9d1-4dd8-a9d3-aab32b461195,2024-07-12,банковский перевод,,отменен
6c5d330e-8954-44ca-9a4c-fbfed5f037c6,b058ae1b-d7d8-4e1c-94ab-967529e405f3,685f02eb-3258-4e24-b27a-bca6dc48e6cb,2024-11-05,банковский перевод,,оплачен
0236fa53-cc42-40b0-a85d-a26309456426,2fb6f041-aeae-4db1-91fb-a85c402ce722,9d7bc762-a4f4-4e9d-a8e3-260aef7c368c,2024-08-31,банковский перевод,,оплачен
8e6922c2-fa1b-4b92-ae8d-4485f059f67b,b5cdd268-4ff3-48ee-8cc1-c42391702ea9,4a386f62-1746-4578-800e-62eebecc574b,2025-01-26,банковский перевод,,отменен
